iShares S&P 100 ETF,,,,,,,,,,,
Inception Date,"Oct 23, 2000",,,,,,,,,,
Fund Holdings as of,"Sep 29, 2017",,,,,,,,,,
Total Net Assets,"4,888,447,512.89",,,,,,,,,,
Shares Outstanding,"43,900,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
DIS,WALT DISNEY,Equity,1.12,98.57,"550,155.00","54,228,778.35","54,228,778.35",Consumer Discretionary,2270726,US2546871060,New York Stock Exchange Inc.
ORCL,ORACLE CORP,Equity,1.07,48.35,"1,076,361.00","52,042,054.35","52,042,054.35",Information Technology,2661568,US68389X1054,New York Stock Exchange Inc.
ABBV,ABBVIE INC,Equity,1.04,88.86,"568,194.00","50,489,718.84","50,489,718.84",Health Care,B92SR70,US00287Y1091,New York Stock Exchange Inc.
BA,BOEING,Equity,1.04,254.21,"198,042.00","50,344,256.82","50,344,256.82",Industrials,2108601,US0970231058,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,1,186.45,"260,083.00","48,492,475.35","48,492,475.35",Health Care,2023607,US0311621009,NASDAQ
MA,MASTERCARD INC CLASS A,Equity,0.97,141.2,"332,832.00","46,995,878.40","46,995,878.40",Information Technology,B121557,US57636Q1040,New York Stock Exchange Inc.
MCD,MCDONALDS CORP,Equity,0.93,156.68,"288,711.00","45,235,239.48","45,235,239.48",Consumer Discretionary,2550707,US5801351017,New York Stock Exchange Inc.
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,0.92,145.08,"308,925.00","44,818,839.00","44,818,839.00",Information Technology,2005973,US4592001014,New York Stock Exchange Inc.
MMM,3M,Equity,0.92,209.9,"212,708.00","44,647,409.20","44,647,409.20",Industrials,2595708,US88579Y1010,New York Stock Exchange Inc.
MO,ALTRIA GROUP INC,Equity,0.89,63.42,"683,851.00","43,369,830.42","43,369,830.42",Consumer Staples,2692632,US02209S1033,New York Stock Exchange Inc.
WMT,WALMART STORES INC,Equity,0.84,78.14,"521,725.00","40,767,591.50","40,767,591.50",Consumer Staples,2936921,US9311421039,New York Stock Exchange Inc.
CELG,CELGENE CORP,Equity,0.84,145.82,"278,862.00","40,663,656.84","40,663,656.84",Health Care,2182348,US1510201049,NASDAQ
HON,HONEYWELL INTERNATIONAL INC,Equity,0.79,141.74,"271,727.00","38,514,584.98","38,514,584.98",Industrials,2020459,US4385161066,New York Stock Exchange Inc.
GILD,GILEAD SCIENCES INC,Equity,0.78,81.02,"465,482.00","37,713,351.64","37,713,351.64",Health Care,2369174,US3755581036,NASDAQ
MDT,MEDTRONIC PLC,Equity,0.77,77.77,"482,827.00","37,549,455.79","37,549,455.79",Health Care,BTN1Y11,IE00BTN1Y115,New York Stock Exchange Inc.
BMY,BRISTOL MYERS SQUIBB,Equity,0.77,63.74,"584,528.00","37,257,814.72","37,257,814.72",Health Care,2126335,US1101221083,New York Stock Exchange Inc.
