iShares S&P 100 ETF,,,,,,,,,,,
Inception Date,"Oct 23, 2000",,,,,,,,,,
Fund Holdings as of,"Oct 31, 2017",,,,,,,,,,
Total Net Assets,"4,781,400,023.48",,,,,,,,,,
Shares Outstanding,"41,950,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
DIS,WALT DISNEY,Equity,1.08,97.81,"528,735.00","51,715,570.35","51,715,570.35",Consumer Discretionary,2270726,US2546871060,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,1.08,55.09,"936,935.00","51,615,749.15","51,615,749.15",Health Care,2778844,US58933Y1055,New York Stock Exchange Inc.
ABBV,ABBVIE INC,Equity,1.03,90.25,"546,060.00","49,281,915.00","49,281,915.00",Health Care,B92SR70,US00287Y1091,New York Stock Exchange Inc.
BA,BOEING,Equity,1.03,257.98,"190,324.00","49,099,785.52","49,099,785.52",Industrials,2108601,US0970231058,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,1,148.77,"319,878.00","47,588,250.06","47,588,250.06",Information Technology,B121557,US57636Q1040,New York Stock Exchange Inc.
MMM,3M,Equity,0.98,230.19,"204,412.00","47,053,598.28","47,053,598.28",Industrials,2595708,US88579Y1010,New York Stock Exchange Inc.
MCD,MCDONALDS CORP,Equity,0.97,166.91,"277,457.00","46,310,347.87","46,310,347.87",Consumer Discretionary,2550707,US5801351017,New York Stock Exchange Inc.
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,0.96,154.06,"296,889.00","45,738,719.34","45,738,719.34",Information Technology,2005973,US4592001014,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,0.92,175.22,"249,951.00","43,796,414.22","43,796,414.22",Health Care,2023607,US0311621009,NASDAQ
WMT,WALMART STORES INC,Equity,0.92,87.31,"501,393.00","43,776,622.83","43,776,622.83",Consumer Staples,2936921,US9311421039,New York Stock Exchange Inc.
MO,ALTRIA GROUP INC,Equity,0.88,64.22,"657,229.00","42,207,246.38","42,207,246.38",Consumer Staples,2692632,US02209S1033,New York Stock Exchange Inc.
HON,HONEYWELL INTERNATIONAL INC,Equity,0.79,144.16,"261,153.00","37,647,816.48","37,647,816.48",Industrials,2020459,US4385161066,New York Stock Exchange Inc.
MDT,MEDTRONIC PLC,Equity,0.78,80.52,"464,025.00","37,363,293.00","37,363,293.00",Health Care,BTN1Y11,IE00BTN1Y115,New York Stock Exchange Inc.
BMY,BRISTOL MYERS SQUIBB,Equity,0.72,61.66,"561,748.00","34,637,381.68","34,637,381.68",Health Care,2126335,US1101221083,New York Stock Exchange Inc.
GILD,GILEAD SCIENCES INC,Equity,0.7,74.96,"447,360.00","33,534,105.60","33,534,105.60",Health Care,2369174,US3755581036,NASDAQ
TXN,TEXAS INSTRUMENT INC,Equity,0.69,96.69,"339,152.00","32,792,606.88","32,792,606.88",Information Technology,2885409,US8825081040,NASDAQ
ABT,ABBOTT LABORATORIES,Equity,0.68,54.23,"595,186.00","32,276,936.78","32,276,936.78",Health Care,2002305,US0028241000,New York Stock Exchange Inc.
PCLN,THE PRICELINE GROUP INC,Equity,0.67,"1,911.96","16,807.00","32,134,311.72","32,134,311.72",Consumer Discretionary,2779063,US7415034039,NASDAQ
