iShares S&P 100 ETF,,,,,,,,,,,
Inception Date,"Oct 23, 2000",,,,,,,,,,
Fund Holdings as of,"Mar 31, 2017",,,,,,,,,,
Total Net Assets,"4,617,312,080.54",,,,,,,,,,
Shares Outstanding,"44,100,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL,APPLE INC,Equity,5.89,143.66,"1,892,194.00","271,832,590.04","271,832,590.04",Information Technology,2046251,US0378331005,NASDAQ
MSFT,MICROSOFT CORP,Equity,3.98,65.86,"2,786,981.00","183,550,568.66","183,550,568.66",Information Technology,2588173,US5949181045,NASDAQ
AMZN,AMAZON COM INC,Equity,2.75,886.54,"142,839.00","126,632,487.06","126,632,487.06",Consumer Discretionary,2000019,US0231351067,NASDAQ
XOM,EXXON MOBIL CORP,Equity,2.66,82.01,"1,495,467.00","122,643,248.67","122,643,248.67",Energy,2326618,US30231G1022,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,2.64,124.55,"978,583.00","121,882,512.65","121,882,512.65",Health Care,2475833,US4781601046,New York Stock Exchange Inc.
FB,FACEBOOK CLASS A INC,Equity,2.62,142.05,"849,406.00","120,658,122.30","120,658,122.30",Information Technology,B7TL820,US30303M1027,NASDAQ
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,2.48,166.68,"684,988.00","114,173,799.84","114,173,799.84",Financials,2073390,US0846707026,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,2.45,87.84,"1,288,251.00","113,159,967.84","113,159,967.84",Financials,2190385,US46625H1005,New York Stock Exchange Inc.
GE,GENERAL ELECTRIC,Equity,2.03,29.8,"3,146,642.00","93,769,931.60","93,769,931.60",Industrials,2380498,US3696041033,New York Stock Exchange Inc.
T,AT&T INC,Equity,2,41.55,"2,214,994.00","92,033,000.70","92,033,000.70",Telecommunications,2831811,US00206R1023,New York Stock Exchange Inc.
GOOGL,ALPHABET INC CLASS A,Equity,1.97,847.8,"107,156.00","90,846,856.80","90,846,856.80",Information Technology,BYVY8G0,US02079K3059,NASDAQ
WFC,WELLS FARGO,Equity,1.96,55.66,"1,624,047.00","90,394,456.02","90,394,456.02",Financials,2649100,US9497461015,New York Stock Exchange Inc.
GOOG,ALPHABET INC CLASS C,Equity,1.92,829.56,"106,573.00","88,408,697.88","88,408,697.88",Information Technology,BYY88Y7,US02079K1079,NASDAQ
BAC,BANK OF AMERICA CORP,Equity,1.85,23.59,"3,615,618.00","85,292,428.62","85,292,428.62",Financials,2295677,US0605051046,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.8,89.85,"922,006.00","82,842,239.10","82,842,239.10",Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,1.59,34.21,"2,146,575.00","73,434,330.75","73,434,330.75",Health Care,2684703,US7170811035,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,1.59,107.37,"682,759.00","73,307,833.83","73,307,833.83",Energy,2838555,US1667641005,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,1.55,48.75,"1,470,136.00","71,669,130.00","71,669,130.00",Telecommunications,2090571,US92343V1044,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,1.4,146.83,"439,335.00","64,507,558.05","64,507,558.05",Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
CMCSA,COMCAST A CORP,Equity,1.39,37.59,"1,706,884.00","64,161,769.56","64,161,769.56",Consumer Discretionary,2044545,US20030N1019,NASDAQ
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,1.37,112.9,"559,517.00","63,169,469.30","63,169,469.30",Consumer Staples,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,1.36,63.54,"990,206.00","62,917,689.24","62,917,689.24",Health Care,2778844,US58933Y1055,New York Stock Exchange Inc.
INTC,INTEL CORPORATION CORP,Equity,1.33,36.07,"1,705,178.00","61,505,770.46","61,505,770.46",Information Technology,2463247,US4581401001,NASDAQ
CSCO,CISCO SYSTEMS INC,Equity,1.32,33.8,"1,806,113.00","61,046,619.40","61,046,619.40",Information Technology,2198163,US17275R1023,NASDAQ
C,CITIGROUP INC,Equity,1.3,59.82,"999,274.00","59,776,570.68","59,776,570.68",Financials,2297907,US1729674242,New York Stock Exchange Inc.
V,VISA INC CLASS A,Equity,1.29,88.87,"670,104.00","59,552,142.48","59,552,142.48",Information Technology,B2PZN04,US92826C8394,New York Stock Exchange Inc.
DIS,WALT DISNEY,Equity,1.29,113.39,"524,661.00","59,491,310.79","59,491,310.79",Consumer Discretionary,2270726,US2546871060,New York Stock Exchange Inc.
